text,sentiment
just got done watch bedtim stori love that movi,positive
oh noooooo i m so sorri that suck hard,negative
listen to the commentari track on holiday inn never thought i d see bing crosbi in black face but the rest of the movi was cute,positive
worri about friend,negative
it are mimi time,neutral
send me your blog s rss feed i have a site that will republish and send traffic to your site,neutral
my dad told me music that has the power to heal the soul sure is true of your,positive
yes so did i some of the act are realli veri cring worthi though i do find it veri entertain,neutral
drive to work run late like alway no time for starbuck,neutral
don t you agre,neutral
rain one more reason to stay snuggl beneath the duvet,neutral
found out that a schoolmat die of an heart attack this morn he was bare will miss u balli,negative
i just ad a butt to your name in my phone after i made you go home in the cold becaus i love you,positive
school out but work in,neutral
so sorri if i ve been type wrong usual after i ve type someth i wont read i ll just press the enter button,negative
fender is hide under the couch he know i m get readi to leav and he isn t happi about it,negative
_shawn when do you go back home want to see ya b u leav homi,neutral
serious my parent are non stop minniapoli newport for a week and now this weekend in san diego i miss them,negative
_d awww glad to know littl sweet d and leigh are do good thank for the updat howi,positive
_sim do you know of ani insid scoop on a station that s anyth what kwod was there s noth for us now,neutral
you right we are argu about noth i thought it was healthi convers,negative
i miss everyon tonight,negative
yeah but you ve got admir someon who take job satisfact to the nth degre,positive
sigh stay up late caus was on a role w assess now i m so tire my eye r sting my head hurt i still need word,negative
_whacker skypeeeee,neutral
after work hillcat game cent hot dog haha,negative
i still have plenti of food left here thank for come over i can t wait to see how the pictur came out,positive
but i like the idea go to cinema but monday,neutral
i don t like my dress,negative
im not happi,negative
is gon na go for a shower goin to see hannah montana laterz woo well excit,positive
with thee ladi get retard,negative
wow i must have been tire i fell asleep exact the start of the pm news now up as if it am,negative
i m at the anim store iat rivercent go crazi at all the pokemon stuff i wish i had money,neutral
take a nap after work no sleep right now the nap felt soooo good but now it seem like a bad idea,neutral
happi mothr day all thaa mom outt thr,positive
_jayi it might hav to cost u a histori essay,neutral
yay my temperatur went down i can have dinner with the famili tonight,neutral
had a great night with friend,positive
my leg are soft watch a move with my mommm short day workk,positive
happi mother s day to all mum on twitter,positive
well poop my guitar lesson was cancel today i m so sad i hope his son feel better soon tho,neutral
i miss my friend so much,negative
i chang my pictur i am soo screw i have an assign due tomorrow that i havent start i just cant concentr argh,negative
here we are unoffici of cours but we are provid all the info you could want for the geelong footbal club,neutral
just had a look miss out by a coupl of hour i m sorri i ll let you know next time,negative
it was day yesterday and probabl today that i wish i had taken the top off my jeep i need help haha it s fricken hot,neutral
no school today gd but dont get to see mate n millsi x,neutral
i didn t headbutt anyon not that i know about anyway you ok today footbal today,neutral
just relax like it is or translat to swedish too just got to take a look at my next comment,positive
just got back from the gym wan na chat with some new peopl let talk haha,neutral
i want to go shop tomorrow but i have to work buy me thing you know you want to,neutral
i like the last part in your methodolog,positive
back from mountain,neutral
the last time pankraz whi do they have to got the same name,neutral
hahaha yay emili i m cool,positive
day until boyzon,neutral
p s thought you were gon na follow me back on twit har,neutral
i envi everyon on aot,positive
_hayward go two way mirror,neutral
mandi it won t let me vote i want her to win but i can t help i am gon na jump off a bridg kid but this sux,neutral
studi with and colett,neutral
want to wish all the mom out there and mom to be a veri happi mother s day,positive
it s ok lol i think we might do the same date,positive
smile these guy are turn up your speaker and smile life is good http,positive
want to move to qld alreadi this cold weather is kill me,negative
_mcsupergirl ok finish set u free and i am sooooo mad rite now it cant end like that i dont want him to be the bad guy,negative
ok brother did you chang your num and not give it to me again smh you no good dude,negative
_clair it sunni here i will send some over to you,neutral
i think i need a drink,neutral
i know i was hope to meet you tonit i just found out a few min ago that we have a mutual friend cuong h,neutral
bore to tear without my boy they are at their dad s for a week,negative
you can use my alot,neutral
there is never anyth on tv on sunday can t wait for america,neutral
i am marina and i sware to god i ll never again end up studi french till o clock at night ever again too much drama sooo sleepi,negative
then how come i m not uber success i m not make the same mistak i m make entir new one,negative
chang my h p number go onlin msn messeng to see,neutral
it was actual so hot today the sun has got his hat on everi one has got a tan except me,negative
thank for the feedback surreal life surreal oil,positive
well i ran out of beer so i left not sure about the eta wait wait wait bleh gon na be a long nite methink,negative
thank it ll be great and even better as soon as i get that wallet in my grubbi littl hand lol,positive
was on the list i paid to get in but if your under you cant go in and out but it was gettin so hot so we went outsid,neutral
well done do blood work it hot out again,neutral
_peer you ll soon be back just replac topifi email in twitter set and that s all,neutral
mad traffic,negative
my nose is runni my head is pound and teeth hurt like a man i feel aw,negative
intern version of stand by me http tini cc pavyi playingforchang com,neutral
you live dat glamor life,positive
rachael make me want to cri,negative
yeah talk to you was too bore,negative
_another_ yeh i can t even imagin good luck to them,positive
happi mommi s day to all the mother in the world,positive
i want to go see up but i don t want to go with my mom and brother,negative
ooh coffe great idea want one,positive
need to pass the exam,neutral
star trek in imax with kojikun seastar brian and georg,neutral
i total agre and there s no way to avoid it,neutral
but i could bare speak he was probabl think who is the weirdo looool say sorri to him for me pleas x,negative
it s tough be a thick chik,negative
http pic gd ef my colleg my friend,neutral
i m bum you re gon na be onli minut from me on sunday i can t come hear ya,negative
work away just now hope it stay nice for the afternoon and even possibl bbq weather,positive
noth like alon time with your handheld devic,positive
be back later happi mother s day to all the mother in the world ã â â½ god love us all,positive
isnt veri happi about the fact that her back is hurt today,negative
may the th be with you all,neutral
feel special look him first guy to give me flower,positive
goodnight to all,positive
http tinyurl com nqudrt hurt my finger at work,negative
rachel alexandra not in belmont but appear in vogu best look model they ve had in year,positive
off to bed was gon na read some new moon but it a littl late now night night all,neutral
the push has start not long befor a new starwarsday babi is born,neutral
happi mother day love your mom,positive
munderday i like that,positive
dude c mon that s almost the ghey,neutral
i ll visit ny til septemb no diggnat for me,neutral
on the way to kuya jordan s hous for an o s sleepov,neutral
_indian hehe veri true but you ve got the color advantag which the complet american haven t,neutral
good morn hun i will promis glad you like em have a love day o,positive
it s pm on a friday night and i m go to bed how pathet,negative
thank you for the advic i ll work on that when im not at work,positive
is new to twitter and has no friend here or should i say follow,neutral
the mum s cake is done now i need make a good luch and tomorrow will be an amaz mum day,positive
definit readi for a plate of pancak,positive
i saw that,neutral
but i am on pg of so i m get close yawn,neutral
i m sad sad sad thought my aunti stina come but no more i was so look forward to have famili i miss dat i m alon on maui,negative
juli st that mean at your concert i won t know all the song oh well yay demi,neutral
sh t i m get even more sad i m current at the librari and j think it ll be the last one tooooo,negative
clair parti was amaz headach,neutral
hooom from work whi am i awak still up in hour,neutral
hi i was just get up now so i tought i could write someth today i m gon na go shop soo fun isn,positive
i am do fantast jjj you do your question alreadi teacher s pet,positive
oh that stink,negative
clean laundri nail paint product saturday night,positive
,negative
_cupcak sometim plug it into can fix problem,positive
it a love day sky is clear bird are sing and i m stuck in an offic with on window for hour,neutral
downtown drink celebr the cav victori,positive
one taken from earlier this week http twitpic com wb,neutral
can t figur out at what time french hour the new moon trailer will be up sinc i can t watch the mtv movi award from pari,neutral
ps i got ben button today complet my best pictur nom got all now it was a great year,positive
and yes i like the vid,positive
heh when i move into my hous pius was have a pep ralli so there was cheer and a band,neutral
my best friend is away at special olymp she said she was gon na bring me,positive
well that just suck good way to make me feel bad,neutral
the big boss is out all week small yay free lunch for the offic today big yay,neutral
alreadi c in our offic can peopl melt we re fight for air con becaus fan just don t help but can t find the budget,negative
spent the entir morn in a meet w a vendor and my boss was not happi w them lot of fun i had other plan for my morn,neutral
_in i love that movi and i miss raul julia,neutral
my car is in at the garag is not come out anytim soon last time i heard the gearbox was the problem still wait for the quot,negative
i alway feel sick when i wake up well got a busi day ahead of me yippee,neutral
the sun is attempt to increas her effort ala the same can not be said for me i see a bath a couch a book in my immedi futur,negative
booo that meani is teas me with a piec of chees http twitpic com rt,neutral
not a lone day after all,neutral
wtf my pic isn t show,negative
ahh my poor feeeeeet,negative
happi mom s day to everyon in the us,positive
near forgot my pin i shouldn t tri to learn anyth new in the futur lest it push out more vital inform,negative
this twitter kan eat the gun now an i don t even be goin in smfh over reactin nothin i need stay strong,neutral
i m in french and we don t have a teacher one hour left til school end,negative
the good i drank jager and lick a hot asian girl s foot the bad i was remind onc again that i will never get asian girl ever,neutral
i think they re realli good so that probabl damn them to obscur,positive
don t know yet lem me know if you come up with someth though,neutral
ummmm i have no idea what im do but my friend is piss off at me now and i dont know whi she hate me so much i need help britney plz,negative
she will,neutral
ugh headach i just wan na go home,negative
yes i has minut of sim plus season fun fun expans,positive
definit of senior me about to go to chem ii and calculus not good class to feel like slackin,negative
no hard feel i hope like i say i think we agre with each other,positive
aww dude no fair i thought that was the point of this thing,negative
chillaxin at work man i screw up,negative
clear need to crack the whip some more,negative
this was at pitman s down south it just look like busi is bad all over,negative
such a headach it s killen me,negative
happi mother s day x mum i love you,positive
took a hour nap after work today and won t be abl to sleep all night this is a bummer,neutral
strike one three and i m out,negative
been job hunt for day media and non media job no lucki anyon know of anyth,neutral
yes and ili,positive
sasha s help too of cours,neutral
realli want to buy new cloth,neutral
hahah you know you love the hannah montana movi it was aweesom,positive
mcfli anit been on here in age z,neutral
anoth long walk in the heat i hate this,negative
i like that gon na have to re tell,positive
aw sorri about your cat no worri about the blanket i was just wonder i m in no rush take your time,neutral
who know mayb someday you ll come home and find gasp dinner in your fridg,neutral
wan na see up in d but everyon want to see it in d,neutral
is final have dinner at nishiki sushi,neutral
i end up not go becaus my left knee is kill me i think i push myself too much yesterday,negative
just woke up from a five hour nap i still have a headach medic time,negative
feel disappoint mahirap talaga mag supervis ng tao http plurk com p wxqwa,negative
_heart hey got your text canna hen famili are comin over i ve got nae money to come to livi anyway xxxx,neutral
http twitpic com iab round base she was fast dure relay not so fast dure the game,neutral
that s great basto i m happi for you you gon na do the mabaho leg to celebr haha,positive
ya she prob doe but i dont want to no about it,negative
dont you have a uk say now,neutral
stellar you look great,positive
i m not impress that it almost alway rain on bank holiday stil it s a free day no colleg,negative
hahahaha yeah you mess up that cross and kneel bit you will get call out joke,negative
clean out me follow list and block the girl now i look like a spammer,negative
i had one of those in south florida mow around it could hurt,neutral
i would advis watch it in the cinema i am sure the effect are worth it unless you have a monster tv at home,positive
this is dumb i keep lose follow,negative
i havent ben on here n a while sorri but im bac now so hit me hup,negative
tri to bing today not oper in australia yet,neutral
plan for this even dinner shop for dress shirt watch up go to bed plan for saturday funer for a friend,neutral
leav for atlanta in the morn to catch joco and pa st i m excit miss p s at d con last year that made me a sad owl,neutral
you didn t includ in the follow friday,neutral
im with andrew it was a long but fun day,positive
afternoon from offic my cubicl has been move but not the system yippi mine is one of te few surviv good system,positive
at least hugh happi trail,positive
now the pic wont load up on twitter,negative
glad you are happi,positive
fret look okay but i think it s mumbl someth it s a bit muffl under the hat but it sound like i need lactos,neutral
what the hell am i do awak this earli,negative
actual did progress studi today,neutral
man tha mojito from earlier got me feelin type funni hope i don t get sick http myloc me dd,negative
oop spent too much alreadi lol quid gone,negative
onli thing suck about holiday worri about pet cat will be tgthr cat resort but jonesi won t have much compani dad in law,negative
my paradis fli catcher abandon their nest they are start again but it s gon na b tough,negative
thank you googl for your adsens payment if onli the aussi dollar wasn t as strong,positive
i fear the spaceship is not long for this earth it just strand me and edwin on the highway there was smoke,negative
sound awesom wish i could go but no way i could afford it have fun,positive
ahh naa i dont like rain nm realli friend is comin over then goin my gran,neutral
batteri is low boooooooo in palm spring ca http loopt us sljbw t,negative
_kat i ve beg my mum to lt me get them out the attic but she wont let me waaa and yes was spoilt hehe,negative
that great hug,positive
thank for ff wink,positive
and it s onli downhil from now until labor day,negative
you should see the morn rush forum s shoutbox overheat bcoz of campaign fli skirt,negative
u realli dont right now i am as sick as a newt in a freezer it awe x,negative
same as i to bad i m a programm onli in this compani,negative
great night hangin out with my famili mom and dad love the extra compani tonight can t wait for frc pcola tomorrow,positive
noooo littl piggi i ll vote anyway hmpf we need to hang out soon pls hug,neutral
just got thru watchin on bone now top off with hous rerun,neutral
veri bore all day no one talk miss my bf and his kiss hol almost over don t wan na go back skool,negative
yup then we are a day older,neutral
i d give anyth to be there too bad i m in tennesse,negative
smackdown is a lot more bore without maria,negative
i would join you shop but i have work all weekend six degre of seper is confsu,negative
ha the potenti is there but so is the loss of finger think you can get the po to do it at a charg and not full proof,negative
off to see the tinyã â â½s think thought about smile i caught from the radio and big daft grin all over my face,positive
dang it i realli look like sigh onli had min to shower and min to get readi,negative
justin timberlak total rock snl tonight ooh and happi mother s day anoth hallmark mkting tool,positive
exam thennn some sexi time,neutral
head to the airport,neutral
_wst the wheater here in austria should be bad for the whole weekend sorri,negative
gah i got some of your song off itun i m so happi they re so awesom keep it up,positive
it s true have u download the tweetdeck yet it is liter amaz,positive
i can t make it my manag switch my schedul so i m close,neutral
hey watch out you don t post too mani advert on your twitter feed i wouldn t normal follow but your blog is interest,positive
that s a lot of mango haha baka naglilihi ka ahh haha joke lang carmen,neutral
happi mother day to all the mommi exspeci mine love you mommi,positive
mileey how can i voe in the mv movi award,neutral
tafe was actual quit good for onc,positive
i want to see drag me to hell but i get the feel none of my friend will go w me,negative
glad you are have a blast,positive
was about to call,neutral
tire but have a lot to do look forward to tabletop game tomorrow as a break from my constant program,neutral
i don t want to quit my job,neutral
have spent half of the day troubleshoot someth that wasn t even within my control cluster doesn t alway mean high avail,neutral
can feel a headach grow,negative
hi i m ok still not feel great,negative
ooow those look pain poor bb,negative
i think that mow the lawn should not be allow to be done by teenag it suck well off to mow,negative
i can t wait that long,neutral
happi mother s day i hope you have an awesom day and a good rest of the night,positive
haha i have ask are you as beauti as ur voic curs u super cool beauti women who are like unavail lol,neutral
mani tribe r becom extinct i blame mc donald,negative
i can t go to sleep until tech support email me back,neutral
that was funni love it i almost fell for it haha,positive
next movi for me termin salvat and transform gon na be a meka spring this year,neutral
and i wish i gave you one last kiss,positive
nice to meet ya,positive
you is all i have to say,negative
time to get readi for work,neutral
i saaaaaaid haha it kinda make me sad though http bit ly ujua,negative
what am i do what can i do,neutral
hateee histori of rock,negative
yes yes she is inde nut like me though i am not rich tut x,negative
watch jackass the movi http twitpic com wlgi,neutral
chang to work,neutral
i m so out of it this morn that don t know if coffe or energi drink will help me get go this morn,neutral
is play with window rc,neutral
yes monday are hard hope you have a great day too have the opportun to get out at some point into the sun,neutral
it sunday morn and bird are chirp hope for the best and pray that it the best,positive
do you want to do my laundri as well,neutral
itun upgrad reset playcount to zero how will i know which one of hasta siempr version i like best,positive
_deen look like a delici recip will tri that tonit,positive
after i water the plant i am head to the farm don t have ani popcorn for the goat katnip is look good under saddl,positive
i shudder at the thought of what she was think she d do with it if she d manag to reclaim it,neutral
cant send the dream stori on twitter send on bebo mail x,neutral
sound good the one i was too was also fun,positive
they rais the price at work which mean peopl are tip less yay,negative
go back home tonight,neutral
is feel her eye burn fri after hour attach to the screen upload new summer cloth for my store,negative
hahah im way too lazi to check my phone ooo michel are you wtach the recruit,negative
rose romanc is releas here on thursday gon na get me some bps,neutral
oh dear it will be late there good ol michigan well i look forward to chat with you when our wake hour overlap,positive
ooooh i m jealous i might tri and get some for the saturday but i have an exam on the monday that im gon na fail,negative
goodnight all no ipod still but found my old mp player we ll see how long it hold out for,positive
is kickoff the red car hope,positive
so sorri i just found the member preview has been sold out for awhil it open at noon to the general public,negative
better go and put my cloth on guy even if p j s are warm and moveabl,neutral
i fell for austin taura hanafiah even morree shoott a guy shouldn t look that yumm hahaha,positive
happi mother day to all you mum out there,negative
is still sick but still love reveng and the possibl of more reveng to come,neutral
love how my printer decid to print all my black all marbl hr befor an interview for new work this morn,positive
_eliza ohhhh that make sens then d and i need to reread the lotr trilog i lost the three book a long time ago and i m sad,negative
im final go home but didnt get to finish all my work so ill be back tomorrow,neutral
just sneez three time in quick success but three is not four so no record,negative
coach say have come along way faster that alot of peopl oh yeah whos the man ohh veri sore,negative
o_o that cool dang ihav to clean my room now lol but good luck w those job gurl,positive
guess what happen to my butt yesterday yes anna finger came for a visit and i said noth about it,neutral
whi thank you couldn t resist it,neutral
they follow my,neutral
you re welcom how much longer until it s color in,neutral
gooood we miss you hope you had fun w the in law haha,neutral
gift honesti box messag has been discontinu due to abus hehe dalã â â½ã â â½ facebookovã â â½ aplikac na hovno,negative
on the set of chuck bass new york palac hotel too bad they weren t film today http twitpic com nht,negative
today will be product gym now lot and lot of write later,neutral
it doe it sometim it should come back and the car thing suck i feel all anxious and yucki now,negative
i wan na be drink at the pub,neutral
i would love to come visit you in korea next flight that is under i am there,positive
grill again for dinner last night for the senior s final kairo dinner had steak spici mango sausag hot wing grill vegi corn,neutral
just download music for over an hour love when that happen,positive
wow your spam realli has everyth cover mine s almost all enlarg stuff,negative
nah i don t finish til next yearrrr are u stayin in the bad news after graduat,negative
i have got my smile,neutral
can t sleep but is happi that the fuge are keep him compani,neutral
someth outsid has a bell and i wont stop ring i think it children with bike the asbo,neutral
i need to buy a cheap verizon phone,neutral
love the comeback i will stay tune you fellow should follow peopl on here though you ll in turn get more follow,positive
watch rd jona ep,neutral
school over i m gon na miss a bunch of peopl,negative
i vote and i couldnt,negative
ate all my chocol,neutral
i m still work,neutral
awak again i give up i m go to readi for today,neutral
i do text to twitter sometim but i don t receiv ani on my phone so,neutral
day of write,neutral
it is hot here in texa and our ac upstair is broken so it realli hot at my hous,negative
has a headach from the the heat,negative
friday night and still work oh wait it s saturday morn alreadi,neutral
the killer where the best a bit disappoint that the last song was cut short can you watch it in full on iplay,neutral
no juic here i didntb even let him use my comput,neutral
don t get gina thoma the thing u do keep artist run from u she s a correct offic in jersey now,neutral
i realli want to ring but it cost much dam you credit crunch,negative
eww it gross here a ladi keep look at me weird ha ha but anoth smile ask me if i was in their compani me in the armi lol,neutral
i m so disgust that my assumpt regard what happen in harlem last night were correct without read the stori first,negative
yes and then they should in non test condit,neutral
you are extrem clever my dear,positive
it s sunni but i m bore sad call or text me,negative
instal offic for mac mess up all my font on safari on a stick help can t even read the solut onlin badmicrosoft,negative
pass my driver test i can drive oh wait i don t turn till octob,neutral
aww that s so sweet so glad she s home with you now happi mother s day to you,positive
cheer mate still get over wednesday you ok you should be you are an incred wealthi man,positive
listen to some band recommend to me by sarrah i realli like the friday night boy,positive
precis the more follow you have the more import you feel http twitter pbwork com hashtag explain a bit more,positive
in school want to read eclips and some page read,neutral
yo wat up how u doin day u havnt answerd ani of my repli,neutral
that sound like a good compromis,positive
i meant i cnt help but stop chattin wid her gud dat u noe everyth so do u think it fair,neutral
no one ever gave me the info i m sad,negative
watch neighbourss,neutral
i m jump off the nearest bridg if i can t have it,negative
i m go to the show in amsterdam can t wait,positive
say i miss plurk http plurk com p wxion,negative
i miss mcfli last night so much i was front row centr danni was make me laugh so much lol,neutral
annnnnnddd anoth one bite the dust,neutral
oh will do i had to bring the soufflã â â½ home i m so full it s delici one of my philli fav,positive
wait for ami so me her and can go see the hannah montanna movi,neutral
no i didn t yet he never text backk,neutral
if i smile at you will you follow me pleas lol,positive
your lucki you have a bed and ice cream all i have is a veri sore couch and some cardboard,neutral
omg supernatur is on after good news week,neutral
there s a you s there s onli of me,neutral
today is a good day but it cold,neutral
i woke up at didn t have a full bladder wasn t sick and to top it off i went for a run now i wan na go back to bed,neutral
aww whi not,neutral
i hate i hate i hate i hate i hate i hate mother s day,negative
_da_ ã â â½ cant im not my sister hous no ã â â½ net tonit,negative
go to search out area we would like for our dream home to also home my home base busi one day soon,neutral
good morn,positive
ditto that my friend bore oop now i have an excit problem,neutral
have to go now by all see ya later guy,neutral
pleas do i ll settl for cheap cider for meet deadlin have you seen our new blog at,negative
i m look forward to the joy of the f hope it anoth disater race for ferrari and button get anoth well deserv win,neutral
lol hell yes i m keen we re go ski at trebl cone sometim this winter,positive
just notic didn t get the locat right again mayb a way to preview it befor send would be handi,neutral
has a broken iphon,negative
_fr yes i saw the villag but the restaur in the villag squar has a sign abov it that read digestif,neutral
oh ok kool keep me inform bout that check ur page it nice,positive
i ve lock up a mac onc or twice in my time ok liter onc or twice,neutral
i m new dunno whatta doo,neutral
http twitpic com w z hope you re have load of fun i love and miss you all boy,neutral
i m off to a fun fill even at a funer home joy,positive
everyth,negative
_blach night doze well,neutral
happi friday do u know how i can get a copi of the bt art u did on mel s fake twitter i m n it but can t find it now thx,positive
amhzz did u get an invit i miss u,negative
midday and a half time for lunch,neutral
is realli realli bore i guess i will go to bed,negative
the balmain knockoff in bebe make me sad i want the real deal these shoe look cheapi cheapi,negative
still fight off this cold ugh,positive
miss you last night hon,negative
some advic for all of you dont pressur wash your foot it hurt and is not worth it you realli do want the skin on your foot fyi ow,neutral
im gunna juh so it anoth way to talk ta yu,neutral
my three day weekend start now was gon na watch star trek but opt to go anoth night instead,neutral
went shop for sport tour yesterday with garley veri veri veri funni now i need some brunch and a shower,positive
wooop meant i agre with boomston tri repli both lol happi mother day to you as well tti soon,positive
i need to watch star trek,neutral
there s noth good on tonight anyway sigjean,negative
bf move to the citi tomorrow current he live down the st sad he will be far away not too far but not down the street,negative
i don t know what im do s,neutral
http twitpic com ja we were bore,negative
i should of gone to kirsti s for the night anyth to get out of the hous,neutral
_m aww whi psn,neutral
morn sport day today and i have to do the three leg race with mr pettigrew said i m not aloud to trip her up,neutral
it offic mother day happi mom day,positive
britain got talent is rather disappoint this year,negative
that make me sad for you,negative
is veri veri tire just want to sleep stupid work get in the way,negative
the ballerina famili is super nice albeit a littl too control of their son s life but the bayou famili is so judgement,positive
but i am with you i hate do it can t we just make music and magic not have to worri about money awe sigh lol,neutral
_duckett great pic how fun love food and wine festiv well beer fest too,positive
i didn t read the detail so that may be it sara jayn is a kid s show so it can t be that excit,negative
a ur way out have fun for me toooo,positive
go to get some coffe,neutral
possibl go out tonight is there anyth to do in lancast i miss baltimor,negative
listen to varsiti fanclub,neutral
wasnt it suppos to have been in for yesterday,neutral
smore plus jacuzzi equal amaz,positive
ouchi sorri to hear it are you go to get it check out,negative
thank you all for the huge respons w bless congratul for us and anna we re inde a famili in church love that so much,positive
i need a coffe,neutral
i realli need to invest in an ellipt machin run with shin splint suck,negative
thank you for share i appreci your honesti i hadn t tweet for some odd hour and got a littl tweet happi,positive
no problem look forward to your next tweet,positive
almost dere realli tire eye r realli dri,negative
subway yum,positive
about to rehears starv,negative
i need a nap but i won t be get one,negative
outz wif the big big big happi famili for mommi s day meal and happi mommi day to all mommi out there,positive
good morn hope to throw back some coffe like right now,neutral
busi week this week quick trip to chase some oil and gas in htown and then back to offic for fun week with the devel team,positive
i just had a love lunch of curri rice and mussel with babi octopus yum,positive
i like that term today list better than to do list,positive
relax fragranc are soo in my latest love are still lavend chamomil the basic one tri to find more flower scent,positive
can t sleep havent finish my homework it,negative
i did see it look so retro i wouldn t say no to rerecord fan love given one chang you have cs fan,neutral
good morn,positive
so sad found otu about your boot camp too late oh well may be in la that day anyway,negative
good now let s go get this done,positive
today i m sad my cat of year has just stop eat and is veri sick,negative
just spent a week whole of pay on shop oh well i m happi,positive
the latest season doesnt air on ani of the indian tv channel so i kinda download the episod view them onlin,neutral
you know ur dog is get old when she sit down to eat poor hilli pleas don t grow up,negative
iusedtobescaredof the girl in the year abov me at school,negative
who ve u notic now kate,neutral
am littl bit upset ppl is jerk,negative
she was wonder did not get to meet her though,neutral
aww i lost follow follow me,negative
_e im go to my danc class now,neutral
yes that a problem prism fail,negative
im not friend with anyon anymor,negative
i have forgot the live with the jona brother on facebook,neutral
back to my offic the fire alarm went off due to someon burnt food in microwav,negative
littl bottl jus for me http mypict me flc,neutral
dream think about my garden,neutral
i want to be in love,positive
alright i realli wish you guy could ve done a show in tennesse becaus now i can t go to one of your show,neutral
_i yeah poor yao hope u had fun look at the laker jerseyz haha enjoy ur time buddi,positive
smh play dress up lol i can t see the vid though it not work,negative
hmm idk that song,neutral
doesnt know how to pimp out here twitter page,neutral
boy don t tri to front i i know just just what you are are are,neutral
good even enjoy vacat eventhough it is bore pray for david cook s brother rip,neutral
ahhhhh well at least i m up to,neutral
sociolog is done english and biolog left i m go to die,negative
on my way to work cant be bother,positive
got a right bad headach,negative
this is my anthem right now don t leav me high and dri http blip fm fcr,neutral
aww thank you honey didja get mommi a daddi,positive
i was certain which show you were talk about by the letter g in camera cafe a misog i think that answer your question,neutral
stress as hell but still surviv,positive
went to friend s hous to watch some good old season episod of supernatur i love this show soo much,positive
hey guy we just want to announc a marathon so let s just say get readi for a coupl episod,neutral
love magix it s cool great rhythm,positive
i hate watch the news whi do such aw thing happen,negative
yessum we ll see how this year goe mayb i can head back in oct when the rate go down i want to go for my bday,neutral
homee my feet are sore,negative
it been clownin sinc it got flood in htown in april got it repair or so i thought,neutral
o exam yuck that will be hectic,negative
when you get your grill taken care of this morn how about a quick shot of the hand don t ask whi just do it,neutral
off to my cousin confirm confirm parti,positive
had a raw day,negative
hour in the sun rash,negative
get to see and hope meet these guy next week at rotr can not wait adelita way invinc http blip fm ynxr,positive
ugh my head when will all the headach stop anyway i love my life right now i couldn t ask for anyth more i love be happi,positive
talk to nat,neutral
happi mother s day,positive
did some real window shop and i found so mani thing i want that just happen to be over a hundr dollar,neutral
dear god i hope they save it http,positive
enjoy my weekend with my kid,positive
will certain do that,neutral
i m guess the belt thing is a no go sinc i didn t hear back sorri stop by this weekend we ll talk bout the ring etc,negative
i wish i was lay in the sand listen to the wave crash against the shore,positive
go to bed earli got a lot of import women to visit for mother day tomorrow ps as of midnight tonight happi bday boo bear,positive
poor ds is in bed with fever he won t be abl to walk in relay for life tonight feel so bad for him he s so sad,negative
well got ta grab at least an hour and a half sleep befor the girl s get up for school gawd the life of multi taskin night mornin,negative
errbodi pleas check out http mscaseycart blogspot com id appreci it a bunch,positive
njoy sunday plce and learn abt more in joomla,positive
cvs is that like a genet brand poor you my hubbi get bad allergi no fun,negative
the follow week would be better i ll be gone next week,positive
my stomach is bleh,negative
look at old pictur i love it miss the good ol day,positive
not let anyon get me down tire of take on other peopl s pain all the time i am a happi person with or without drama om,neutral
yooooooo what up mate,neutral
_nk wouldn t call that cool or danger reckon it fit into the stupid categori,negative
so woke up in time just for work boo,negative
tri resco mobileform toolkit and sampl trial messag ruin everyth the sampl has bug it s run slow poor st impress,negative
i am so happi keve is here for earli mother s day let s be quiet he drove all night and is sleep,positive
i m about to have to hang up my fone is get to hot,negative
oh as usual i should warn my new follow that i tend to over tweet dure canuck game apolog in advanc,negative
oh that was good cake,positive
good stuff cant wait for the result,positive
all my love one are leav on sunday sad,negative
_ahoy yeah i realli want one too probabl in the winter i may be abl to get one but until then,neutral
feel sick too much chees on toast,negative
whi i love so much whi your make me smile all the time whi your so special but i cant have u i get scare to tri,neutral
thnks for followin,positive
i see your date is show you a good time still want a stripper pictur,positive
list to a sad song so i am sad too,negative
i heart you girl let s hang out soon,positive
hahaha is such nonsens,negative
ugh my internet was down,negative
i want to hang out and play but i can t fiddl faddl on my workload,negative
i want too soo bad i hate miss gumbo but i have a shoot tommorrow that i have to be at for so no gumbo for me,negative
i need a new iphon case but i am broke,negative
it actual is accord to all the retweet at least,neutral
aww i know we use to chat but you becam too cool for me,neutral
heyyy you alway look nice wan na come to my friend s parti it june th long weekend in sydney,positive
_hawt so how s the fit regim come along heheheh,neutral
just got woken up by my mom our entir first floor is flood all our furnitur curtain mom expens rug soak and ruin,negative
i feel realli sick and my teeth still hurt fml,negative
eye still hurt i think i ll go sleep now,negative
listen to have heart aka i took over car last fm it am need to be up in hour looooong day tomorrow,negative
what s wrong,neutral
he was alway a bit smug as a whistl blower the denial stuff is pretti spectacular too,positive
belay the swimsuit hot tub won t be readi this weekend sad,negative
i think i kill my mo old bromeliad need a new pet plant or not,negative
i m so sorri drace this suck so bad,negative
wait on food,neutral
i also have a brain tumor call jefferi,negative
bbq s gone well weather stay good which is a right bonus just off to bed train in the morn at then work,neutral
not ideal bank holiday condit a littl over cast and raini but perfect for a lazi day with a dvd,negative
_stiller they sure do more than to boot,neutral
want to sign up for the germani field trip pero no tengo dinero,neutral
don t remind me was suppos meet up with the homi that show ack so kill it pleas do the thang,neutral
